Summary,Issue key,Issue Type,Project key,Project name,Components,Labels,Description,Outward issue link (Relates),Custom field (Content Type),Custom field (Issue Code),Platforms,Populations,Custom field (Recommended Code),Custom field (Reference(s)),Custom field (Remediation Guidance),Custom field (Severity),WCAG SC,Custom field (Youtube Video URL)
Insufficient labelling and inappropriate nesting of form controls,GUT-49,Bug,GUT,Gutenberg,Media Dialog   , ,"In the ""Featured Image"" modal dialog's ""Media Library"" tab, users can choose an image to be the featured image; this is presented as a series of checkbox elements which, once checked, show a button to uncheck inside the custom checkbox element.

This button is in the Tab order, however its only name is ""Deselect"", it doesn't tell the user what is being deselected. Users must infer what this button does from context, and may wonder why it's next to seemingly-ordinary checkboxes which themselves are natively unselectable.

The `button` role of these buttons does not convey that the user is checking or unchecking an item, and their placement inside the `checkbox` elements is semantically confusing, and may be functionally confusing since one focusable element is nested inside another.

Screen reader users hear that a list is present, yet find that they cannot navigate by list-items.




",GUT-50,Document Structure,"<ul tabindex=""-1"" class=""attachments ui-sortable ui-sortable-disabled"" id=""__attachments-view-53"">
    <li tabindex=""0"" role=""checkbox"" aria-label=""Marianne_Williamson"" aria-checked=""true"" ... class=""..."">
        <div class=""..."">
            <div class=""thumbnail"">
                <div class=""centered"">
                    <img src=""...this-is-fine-300x200.jpg"" draggable=""false"" alt="""">
                </div>
            </div>
        </div>
        <button type=""button"" class=""check"" tabindex=""0"">
            <span class=""...""></span>
            <span class=""screen-reader-text"">Deselect</span>
        </button>
    </li>
    ...
</ul>",Android - TalkBack; iOS - VoiceOver; Mac - VoiceOver; Windows - Screen Reader; Windows - ZoomText; ,Blind; Cognitively Impaired; Low-Vision; ,"<fieldset>
    <legend class=""screen-reader"">Media options result</legend>
    <ul tabindex=""-1"" class=""attachments ui-sortable ui-sortable-disabled"" id=""__attachments-view-53"">
        <li ... class=""..."">
            <input type=""checkbox"" id=""data_159"">
            <label for=""data_159"">
                <img src=""...this-is-fine-300x200.jpg"" draggable=""false"" draggable=""false"" alt=""Marianne_Williamson"">
            </label>
        </li>
        ...
    </ul>
</fieldset>

li {
    position: relative;
}
li>input {
    position: absolute;
    opacity: 0;
    ...
}
li input+label img {
    ...
}
li input:focus+label img {
    /* styles for focussed input */
    /* include an actual outline in addition to box-shadow for high contrast users */
}
li input:checked {
    opacity: 1;
}
li input:checked:focus,
li input:checked:hover {
    /* change from checkmark to dash */
}
li input:checked+label img {
    ...
}",,"Allow the list semantics to remain available by not overriding the `<li>` elements' native list-item roles.

Remove the `<button>` inside the checkbox and allow the original checkbox itself to be hidden and shown (perhaps styled with the custom checkmarks and ""-"" symbols, using the `:before` pseudo-element, as used in other checkboxes); hiding elements with `opacity` still allows speech recognition and screen readers to perceive the checkbox as though it were visible. The `alt` attribute inside the image will be able to label the checkbox if it's inside the `<label>` element.

The checkbox now can offer both the image name and its state together in one unit, allowing users to always know what they are deselecting.",Low,1.3.1 Info and Relationships (Level A)  ,
Focus is invisible in high contrast views,GUT-45,Bug,GUT,Gutenberg,Edit Media; Media Dialog,High_contrast ,"Users of Windows High Contrast themes who open the ""Featured Image"" modal or the Edit Media page cannot see where the keyboard focus is in most cases. The exceptions to this are the date filter dropdown, pre-filled text inputs, and the search typeahead-inputs, but these exceptions are only because the browser tends to automatically select and highlight the text inside them, which should not be relied on.

This problem occurs because `box-shadow` is the sole visible method of showing which element has focus, however High Contrast themes remove box-shadows along with background colors to ensure that foregrounds and backgrounds have sufficiently high contrast.

All interactive elements should have a visible and obvious focus indicator, so that sighted keyboard users have a clear indication of which element has focus.




",,Keyboard Accessibility and Focus Control,".wp-core-ui .attachment.details:focus,
.wp-core-ui .attachment:focus,
.wp-core-ui .selected.attachment:focus {
    box-shadow: inset 0 0 2px 3px #fff, inset 0 0 0 7px #5b9dd9;
    outline: 0;
}
...
.wrap .page-title-action:focus {
    border-color: #5b9dd9;
    box-shadow: 0 0 2px rgba(30,140,190,.8);
}
...
.image-editor .imgedit-settings .imgedit-help-toggle:focus {
    color: #0074a2;
    border-color: #5b9dd9;
    outline: 0;
    box-shadow: 0 0 3px rgba(0,115,170,.8);
}
...
input[type=checkbox]:focus, input[type=color]:focus, input[type=date]:focus, input[type=datetime-local]:focus, input[type=datetime]:focus, input[type=email]:focus, input[type=month]:focus, input[type=number]:focus, input[type=password]:focus, input[type=radio]:focus, input[type=search]:focus, input[type=tel]:focus, input[type=text]:focus, input[type=time]:focus, input[type=url]:focus, input[type=week]:focus, select:focus, textarea:focus {
    border-color: #5b9dd9;
    box-shadow: 0 0 2px rgba(30,140,190,.8);
}
...
.wp-core-ui .button-primary.focus, .wp-core-ui .button-primary:focus {
    box-shadow: 0 1px 0 #0073aa, 0 0 2px 1px #33b3db;
}
...
a, div {
    outline: 0;
}
...
.wp-person a:focus .gravatar, a:focus, a:focus .media-icon img {
    color: #124964;
    box-shadow: 0 0 0 1px #5b9dd9, 0 0 2px 1px rgba(30,140,190,.8);
}
...
.js .postbox .handlediv:focus {
    box-shadow: none;
    outline: 0;
}
.js .postbox .handlediv:focus .toggle-indicator:before {
    box-shadow: 0 0 0 1px #5b9dd9, 0 0 2px 1px rgba(30,140,190,.8);
}",Windows - High Contrast,Cognitively Impaired; Low-Vision; Motor Impaired; ,".wp-core-ui .attachment.details:focus,
.wp-core-ui .attachment:focus,
.wp-core-ui .selected.attachment:focus {
    box-shadow: inset 0 0 2px 3px #fff, inset 0 0 0 7px #5b9dd9;
    outline: 3px solid transparent;
}

.wp-core-ui .attachment.details {
    box-shadow: inset 0 0 0 3px #fff, inset 0 0 0 7px #0073aa;
    border: 1px solid transparent;
}
...
.wrap .page-title-action:focus {
    border-color: #5b9dd9;
    box-shadow: 0 0 2px rgba(30,140,190,.8);
    outline: 3px solid transparent;
}
...
.image-editor .imgedit-settings .imgedit-help-toggle:focus {
    color: #0074a2;
    border-color: #5b9dd9;
    outline: 1px solid transparent;
    box-shadow: 0 0 3px rgba(0,115,170,.8);
}
...
input[type=checkbox]:focus, input[type=color]:focus, input[type=date]:focus, input[type=datetime-local]:focus, input[type=datetime]:focus, input[type=email]:focus, input[type=month]:focus, input[type=number]:focus, input[type=password]:focus, input[type=radio]:focus, input[type=search]:focus, input[type=tel]:focus, input[type=text]:focus, input[type=time]:focus, input[type=url]:focus, input[type=week]:focus, select:focus, textarea:focus {
     border-color: #3d94b7;
    box-shadow: 0 0 2px rgba(30,140,190,.8);
    outline: 1px solid transparent;
}
...
.wp-core-ui .button-primary.focus, .wp-core-ui .button-primary:focus {
    box-shadow: 0 1px 0 #0073aa, 0 0 2px 1px #33b3db;
    border: 1px solid #000;
    outline: 1px solid transparent;
}
...
a, div {
    outline: 0;
}
...
.wp-person a:focus .gravatar, a:focus, a:focus .media-icon img {
    color: #124964;
    box-shadow: 0 0 0 1px #5b9dd9, 0 0 2px 1px rgba(30,140,190,.8);
    outline: 1px solid transparent;
}
...
.js .postbox .handlediv:focus {
    box-shadow: none;
    outline: 0;
}
.js .postbox .handlediv:focus .toggle-indicator:before {
    box-shadow: 0 0 0 1px #5b9dd9, 0 0 2px 1px rgba(30,140,190,.8);
    border: 1px solid transparent;
}",,"Add a transparent (or visible) `outline` to elements which are using `box-shadow` to show focus.

For elements which are selected and focussed, selected elements should also have a `border`.

Ensure the outline is not given a negative `outline-offset`, as this would place it directly on top of the border, making it visibly indistinguishable by users.

",High,2.4.7 Focus Visible (Level AA)  ,
Insufficient contrast on empty field borders,GUT-44,Bug,GUT,Gutenberg,Media Dialog   ,Contrast_nonText ,"Some interface components in the ""Featured Image"" modal have insufficient color contrast for their borders when empty, below the minimum threshold of 3:1 for interface components:

* Caption, Alt Text and Description field borders: light-grey (#ddd) on lighter grey (#f3f3f3): *1.35:1*

Sufficient color contrast is important for users who have low-vision or are color-blind, because content with a low contrast ratio may be difficult or impossible for such users to see.


",,Color,".media-frame input[type=email], .media-frame input[type=number], .media-frame input[type=password], .media-frame input[type=search], .media-frame input[type=text], .media-frame input[type=url], .media-frame select, .media-frame textarea {
    ...
    border-width: 1px;
    border-style: solid;
    border-color: #ddd;
}",All/ Universal,Cognitively Impaired; Low-Vision ,".media-frame input[type=email], .media-frame input[type=number], .media-frame input[type=password], .media-frame input[type=search], .media-frame input[type=text], .media-frame input[type=url], .media-frame select, .media-frame textarea {
    ...
    border-width: 1px;
    border-style: solid;
    border-color: #8f8f8f;
}",,Darken the `border-color` to create a minimum contrast ratio of 3:1.,Low,1.4.11 Non-text Contrast (Level AA)  ,
Insufficient contrast on link text,GUT-43,Bug,GUT,Gutenberg,Block Types; Media Dialog,Contrast ,"When the ""Featured Image"" modal is open, there are two controls coded as links which have insufficient color contrast, below the minimum threshold of 4.5:1 for text:

* ""Upload Files"" and ""Media Library"" blue hover color: blue (#00a0d2) on white (#fff): *3.01:1*

Sufficient color contrast is important for users who have low-vision or are color-blind, because text with a low contrast ratio may be difficult or impossible for such users to see.
 ",,Color,".media-frame a:active, .media-frame a:hover {
    color: #00a0d2;
}",All/ Universal,Cognitively Impaired; Low-Vision ,".media-frame a:active, .media-frame a:hover {
    color: #124964;
}",,"Darken the hover color to match the focus color, or otherwise to provide a contrast ratio of 4.5:1 or greater.",Medium,1.4.3 Contrast (Minimum) (Level AA)  ,
Feature Image dialog does not follow the dialog pattern,GUT-42,Bug,GUT,Gutenberg,Media Dialog   ,Dialogs ,"Users opening the ""Feature Image"" dialog are not told they are entering a dialog. Keyboard focus is trapped, however screen reader users are able to go beyond the last items of the dialog without realising they have left it.

Keyboard users who find their focus cycling around the dialog get a Tab stop with no visible focus. This is the dialog itself, which can receive keyboard focus while having no visible focus state.

The triggering ""Set Featured Image"" button does not express an expanded or collapsed state, which would not matter if users could not reach the button when the modal was open; however, they can.

Lack of an explicit role for modal dialogs may be confusing for assistive technology users, since they may not realise they're inside a dialog, and that consequently the keyboard interactions may be different from the rest of the page. Lack of an explicit label for dialogs may be confusing for assistive technology users, since they won't have an immediate sense of what the dialog is for.



",GUT-50,Dynamic Content,"<button type=""button"" class=""components-button editor-post-featured-image__toggle"">Set featured image</button>
...
<div tabindex=""0"" class=""media-modal wp-core-ui"">
    <button type=""button"" class=""..."">...Close media panel...</button>
    <div class=""media-modal-content"">
        ...
        <div class=""media-frame-title"">
            <h1>Featured Image<span class=""dashicons dashicons-arrow-down""></span></h1>
        </div>
        ...
    </div>
</div>
",Android - TalkBack; iOS - VoiceOver; Mac - VoiceOver; Windows - Screen Reader; Windows - ZoomText; , ; ,"<div id=""wpwrap"" aria-hidden=""true"">...</div>

<div role=""dialog"" aria-modal=""true"" aria-labelledby=""media-modal-title"" tabindex=""-1"" class=""media-modal wp-core-ui"">
    <button type=""button"" class=""..."">...Close media panel...</button>
    <div class=""media-modal-content"">
        ...
        <div class=""media-frame-title"">
            <h1 id=""media-modal-title"">Featured Image<span class=""dashicons dashicons-arrow-down""></span></h1>
        </div>
        ...
    </div>
</div>",,"Give the modal a `role` of `dialog` and set `""aria-modal=true""`. Additionally, set `aria-hidden=""true""` on the element which wraps the rest of the page, to prevent older browsers or assistive technologies that don't support `aria-modal` from accessing the rest of the page while the modal is open.

Use `aria-labelledby` and an `id` on the modal heading to name the modal.

Change the `tabindex` to `-1` so that it can be focused via JavaScript without being in the Tab order. The exception to this advice is if having the modal in the Tab order is necessary so that keyboard users can scroll content inside it; however in existing cases, scrollable areas are separate parts of the modal. But if a container must receive focus in order to allow keyboard users to scroll the content, then the container must visibly show focus.",High,"1.3.1 Info and Relationships (Level A); 4.1.2 Name, Role, Value (Level A) ; ",
Text inadvertently rendered by assistive technologies,GUT-41,Bug,GUT,Gutenberg,Block Panel; Document Panel; Media Dialog  , ,"Users of assistive technologies such as screen readers who navigate to the bottom of the Settings panels will find a button which they cannot activate (nor see if sighted) called ""Select files"".

Additionally, if users change the color modes in the popup custom color picker, the current mode is announced in a live region. However, long after users are done with choosing a color, even after choosing to edit another block on the page, when they reach the bottom of the Block panel they'll still hear ""hex color mode active"". At this point, users may not remember what this was for and have no idea what this is referencing, as it no longer has any context.
",,Dynamic Content,"<!-- color announcement -->
<div id=""wp-a11y-speak-polite"" aria-live=""polite"" aria-relevant=""additions text"" aria-atomic=""true"" class=""screen-reader-text wp-a11y-speak-region"">Hex color mode active</div>

<!-- select files -->
<div class=""wp-uploader-browser"" id=""wp-uploader-browser-o_1d2saqvj4l3skgruvl1ejo1ejp3"" style=""position: fixed; top: -1000px; left: -1000px; height: 0px; width: 0px;"">
    <button type=""button"" class=""browser button button-hero"" id=""__wp-uploader-id-1"" style=""display: inline-block; position: relative; z-index: 1;"">Select Files</button>
</div>",Android - TalkBack; iOS - VoiceOver; Mac - VoiceOver; Windows - Screen Reader ,Blind; Cognitively Impaired; Low-Vision; ,"<!-- color announcement -->
<div id=""wp-a11y-speak-polite"" aria-live=""polite"" aria-relevant=""additions text"" aria-atomic=""true"" class=""screen-reader-text wp-a11y-speak-region""> </div>

<!-- select files -->
<div class=""wp-uploader-browser"" id=""wp-uploader-browser-o_1d2saqvj4l3skgruvl1ejo1ejp3"" style=""display:none;"">
    <button type=""button"" class=""browser button button-hero"" id=""__wp-uploader-id-1"" style=""display: inline-block; position: relative; z-index: 1;"">Select Files</button>
</div>",,"When users have performed an action, such as clicking another block (or whatever action causes ""No block selected"" to appear in the Block panel), clear the live region so that users who encounter it while manually reading do not hear it. Refill the live region when users change color modes.

The hidden file selection button should be hidden from all users with `display: none` whenever it is not visible nor meant to be used.",Medium,  ,
Useful content is unnecessarily hidden,GUT-40,Bug,GUT,Gutenberg,Block Panel   , ,"After the tags input, where users can add tags to their document, hidden text states that these can be comma-separated. This text is only available to screen reader users, even though these instructions are useful to many sighted users, such as those with a cognitive disability and keyboard-only users.
",,Text Content and Typography,"<div class=""components-form-token-field"" tabindex=""-1"">
    <label for=""..."" class=""..."">Add New Tag</label>
    <div class=""..."" tabindex=""-1"">
        <input id=""..."" type=""text"" size=""1"" class=""..."" role=""combobox"" aria-expanded=""false"" aria-autocomplete=""list"" aria-describedby=""..."" value="""">
    </div>
    <div id=""..."" class=""screen-reader-text"">Separate with commas</div>
</div>",All/ Universal,Cognitively Impaired; Motor Impaired ,"<div class=""components-form-token-field"" tabindex=""-1"">
    <label for=""..."" class=""..."">Add New Tag</label>
    <div class=""..."" tabindex=""-1"">
        <input id=""..."" type=""text"" size=""1"" class=""..."" role=""combobox"" aria-expanded=""false"" aria-autocomplete=""list"" aria-describedby=""..."" value="""">
    </div>
    <div id=""..."">Separate with commas</div>
</div>",,"Allow the instructions to be available to all users, not just screen reader users.",Low,  ,
Instructions are unclear,GUT-39,Bug,GUT,Gutenberg,Block Panel   ,Labels ,"Users going through the Block panel after selecting a Heading type block, will come to a field asking for an ""HTML anchor"", with the explanation: ""Anchors lets you link directly to a section on a page.""

While it may be too technical to explain that this field adds an `id` attribute to the heading, the brief explanation leads users to be unsure if the field wants an actual anchor tag or a string, and what the rules are for its value.

Users with cognitive, reading or writing disabilities may also have trouble with the input's automatic changing of space and other characters as they type, without explanation.
 ",,Forms,"<div class=""components-base-control__field"">
    <label class=""..."" for=""inspector-text-control-4"">HTML Anchor</label>
    <input class=""..."" type=""text"" id=""inspector-text-control-4"" aria-describedby=""inspector-text-control-4__help"" value=""..."">
</div>
<p id=""inspector-text-control-4__help"" class=""..."">Anchors lets you link directly to a section on a page.</p>",All/ Universal,Cognitively Impaired ; ,"<div class=""components-base-control__field"">
    <label class=""..."" for=""inspector-text-control-4"">Add an-page link</label>
    <input class=""..."" type=""text"" id=""inspector-text-control-4"" aria-describedby=""inspector-text-control-4__help"" value=""..."">
</div>
<p id=""inspector-text-control-4__help"" class=""..."">Add a unique name (without spaces) to your heading to allow linking directly to that section on the page.</p>

<div class=""..."">
    <label class=""..."" for=""inspector-text-4__help"">Example code result</label>
    <input class=""..."" type=""text"" id=""inspector-text-4__help"" readonly="""" value=""[heading with id here]"">
</div>",,"Change ""anchor"" to something that doesn't suggest the user should actually add an anchor. This also avoids web-developer jargon: more users know what a ""link"" is than an ""anchor"".

Have the explanatory text mention the sole restriction of id-token strings (i.e. they cannot contain spaces) to help explain why spaces are being automatically changed to other characters.

Consider showing an example of resulting HTML code so that users can see what changes as they change their string. Users who don't understand HTML code are still free to ignore this.",Low,3.3.2 Labels or Instructions (Level A)  ,
Form controls are neither grouped nor named,GUT-36,Bug,GUT,Gutenberg,Block Panel; Document Panel,Forms; Semantics; ,"In the Settings dropdown (both Document and Block panels), loose text is visually placed next to groups of controls, making the controls' context visually clear, but not programmatically clear.

Additionally, one specific button (the ""Public"" button which is styled as a link) has two `<label>` elements attached to it, the second overriding the first and giving non-visual users less context.


",,Forms,"/* Publish options */
<div class=""components-panel__row edit-post-post-visibility"">
   <span>Visibility</span>
<div>
<button type=""button"" aria-expanded=""false"" class=""components-button edit-post-post-visibility__toggle is-link"">Public</button>
...
<div class=""components-panel__row edit-post-post-schedule"">
    <label for=""edit-post-post-schedule__toggle-13"" id=""edit-post-post-schedule__heading-13"">Publish</label>
    <div>
        <label class=""edit-post-post-schedule__label"" for=""edit-post-post-schedule__toggle-13"">Jan 31, 2019 8:34 am Click to change</label>
        <button type=""button"" id=""edit-post-post-schedule__toggle-13"" aria-expanded=""false"" aria-live=""polite"" class=""components-button edit-post-post-schedule__toggle is-link"">Jan 31, 2019 8:34 am</button>
    </div>
</div>
...
/* example section areas */
<div class=""components-base-control editor-color-palette-control"">
    <div class=""components-base-control__field"">
        <span class=""components-base-control__label"">Background Color</span>
        ...
        <button type=""button"" aria-label=""Color: Pale pink"" ...></button>
        ...
        <button type=""button"" class=""..."">Clear</button>
    </div>
    ...
</div>
...
<div class=""block-library-image__dimensions"">
    <p class=""block-library-image__dimensions__row"">Image Dimensions</p>
    <div class=""..."">
        <label ...>Width</label>
        <input type=""number"" ...>
        ...
        <label ...>Height</label>
        <input type=""number"" ...>
        ...
        <div aria-label=""Image Size"" class=""components-button-group"" role=""group"">
            <button type=""button"" ..."">25%</button>
            <button type=""button"" ...>50%</button>
            <button type=""button"" ...>75%</button>
            <button type=""button"" ...>100%</button>
        </div>
        <button type=""button"" class=""..."">Reset</button>
    </div>
</div>
",All/ Universal,Blind; Cognitively Impaired ,"/* Publish options */
<div class=""components-panel__row edit-post-post-visibility"">
   <h3>Visibility</h3>
<div>
<button type=""button"" aria-expanded=""false"" class=""components-button edit-post-post-visibility__toggle is-link"">Public</button>
...
<div class=""components-panel__row edit-post-post-schedule"">
    <h3 id=""edit-post-post-schedule__heading-13"">Publish</h3>
    <div>
        <button type=""button"" id=""edit-post-post-schedule__toggle-13"" aria-expanded=""false"" ..."">Jan 31, 2019 8:34 am
            <span class=""screen-reader-text"">Change date</span>
        </button>
    </div>
</div>
...
/* example section areas */
<div class=""components-base-control editor-color-palette-control"">
    <fieldset class=""components-base-control__field"">
        <legend class=""components-base-control__label"">Background Color</legend>
        ...<button type=""button"" aria-label=""Color: Pale pink"" ...></button>
        ...
        <button type=""button"" class=""..."">Clear</button>
    </fieldset>
    ...
</div>
...
<fieldset class=""block-library-image__dimensions"">
    <legend class=""block-library-image__dimensions__row"">Image Dimensions</legend>
    <div class=""..."">
        <label ...>Width</label>
        <input type=""number"" ...>
        ...
        <label ...>Height</label>
        <input type=""number"" ...>
        ...
        <div aria-label=""Image Size"" class=""components-button-group"" role=""group"">
            <button type=""button"" ..."">25%</button>
            <button type=""button"" ...>50%</button>
            <button type=""button"" ...>75%</button>
            <button type=""button"" ...>100%</button>
        </div>
        <button type=""button"" class=""..."">Reset</button>
    </div>
</fieldset>
",,"For most of the selection areas, turning the wrapping element into a `fieldset` and the element with the group name text to a `legend` is sufficient.

For the ""Visibility"" and ""Publish"" sections, the Recommended Code shows turning the visible text elements near the buttons into headings (level `h3`) and adding additional context to the publish date button as hidden screen reader text.

Another option available is to add`id` attributes to the `<span>` and `<button>` elements, then referencing both of them to label the button using `aria-labelledby`.",Medium,"1.3.1 Info and Relationships (Level A); 3.3.2 Labels or Instructions (Level A); 4.1.2 Name, Role, Value (Level A) ",
Text styled as headings are not headings,GUT-35,Bug,GUT,Gutenberg,Block Panel; Title Block,Headings; Semantics; ,"At the top of the Block panel, the name of the block type is styled as a heading, and functions as a heading for the content describing the block type. It has a class name suggesting it is meant as a section title.

In some places in the Block panel and in the Title Block, a label-input pair is imitated with a paragraph-result pair. There is no semantic relationship between the paragraph and the content following it.

Headings provide important wayfinding points for assistive technology users, and help to provide context for the content that follows them. When headings are missing or improperly defined, it may be more difficult for such users to understand and navigate the content.


",,Document Structure,"<div class=""editor-block-inspector__card-title"">Paragraph</div>
...
<div class=""components-panel__body is-opened"">
    ...
    <label...>URL</label>
    <input ...>
    ...
    <p class=""edit-post-post-link__preview-label"">Preview</p>
    <a target=""_blank"" class=""..."" href=""..."">...</a>
    ...
</div>",All/ Universal,Blind; Cognitively Impaired ,"<h2 class=""editor-block-inspector__card-title"">Paragraph</h2>
...
<div class=""components-panel__body is-opened"">
    ...
    <label...>URL</label>
    <input ...>
    ...
    <h3  class=""edit-post-post-link__preview-label"">Preview</h3>
    <a target=""_blank"" class=""..."" href=""..."">...</a>
    ...
</div>",,"Ensure elements presented and styled as headings are, in fact, headings.

In places where the format is switching between a label-input pair to a label-result pair, use headings to semantically represent that the label text is giving context to the content which follows it.",Low,"1.3.1 Info and Relationships (Level A); 2.4.6 Headings and Labels (Level AA); 4.1.2 Name, Role, Value (Level A) ",
Keyboard focus cannot easily reach Settings panel after opening,GUT-33,Bug,GUT,Gutenberg,Block Panel; Document Panel,Focus; Keyboard; Zoom,"Keyboard users who use the ""Settings"" button to open the Settings panel cannot easily reach the newly-opened panel using typical keyboard navigation. The Settings content does not follow the triggering button in the DOM, nor is focus programmatically moved there once it opens.

This is especially problematic for users who are zoomed in above 175%, where the mobile styles apply, showing the Settings panel taking up the entire page similar to a dialog. Users who attempt to tab through the panel find themselves tabbing through elements behind the panel. The screenshot shows a tooltip from something getting focus behind the panel.

 !400_percent_settings.png|alt=Screenshot of the content with the issue described here! ",,Keyboard Accessibility and Focus Control,"<div role=""region"" aria-label=""Editor top bar"" class=""edit-post-header"" tabindex=""-1"">
    <div role=""toolbar"" ..."" aria-label=""Document and block tools"">...</div>
    <div class=""edit-post-header__settings"">
        ...
        <button type=""button"" aria-label=""Settings"" aria-expanded=""true"" class=""..."">...</button>
    </div>
    <div class=""edit-post-more-menu"">
        <button type=""button"" aria-label=""Show more tools &amp; options"" aria-expanded=""false"" class=""..."">...</button>
    </div>
</div>
...
<div class=""edit-post-layout__content"" role=""region"" aria-label=""Editor content"" tabindex=""-1"">...</div>
...
<div class=""edit-post-sidebar"" role=""region"" aria-label=""Editor settings"" tabindex=""-1"">
    <div class=""..."">
        <span class=""edit-post-sidebar-header__title"">Gutenberg Editor Demo (edited for output scoping)</span>
        <button type=""button"" aria-label=""Close settings"" class=""..."">...</button>
    </div>
    <div class=""..."">
        <ul>
            <li>
                <button class=""..."" aria-label=""Document (selected)"" data-label=""Document"">Document</button>
            </li>
            <li>
                <button class=""... "" aria-label=""Block"" data-label=""Block"">Block</button>
            </li>
        </ul>
        <button type=""button"" aria-label=""Close settings"" class=""..."">...</button>
    </div>
    ...
</div>",All/ Universal,Blind; Cognitively Impaired; Low-Vision; Motor Impaired,,,"Either move the dropdown contents to come immediately after their activating buttons in source order OR programmatically move focus to the first focusable item inside the dropdowns when they've been opened (even if opened by a shortcut key).

Shortcut keys for moving around a document should be considered extra UX features for power users, rather than essential for basic navigation. Focus should follow a predictable order, generally following visible items, and should not be able to reach invisible areas.",High,1.4.10 Reflow (Level AA); 2.4.3 Focus Order (Level A); 2.4.7 Focus Visible (Level AA) ,
Content overflows and is cut off at 200% text enlarge,GUT-32,Bug,GUT,Gutenberg,Block Panel; Document Panel,Text_enlarge ,"Several controls allow text to overflow out of them, or clip the text, at 200% text enlarge. This is due to containers being set in fixed pixel heights, which cannot grow with their content.

!200_percent_controls.png|alt=Multiple screenshots showing text falling out of their controls or cut off by them!

The checkmark icons move out of their checkboxes as they grow, leaving a white checkmark against a white page background.

 !200_percent_checkboxes_document.png|alt=Screenshots showing the checkmarks, in both regular and high contrast themes!

The ability to resize text is essential for users with low-vision, and may be helpful for users who have a cognitive disability. Catering to zoom alone is not sufficient because the browser's font-size may be increased independently of zoom level.

",,Text Content and Typography,"/* selects */
.wp-admin select {
    ...
    line-height: 28px;
    height: 28px;
    ...
}

/* checkboxes/radios */
input[type=checkbox], input[type=radio] {
    ...
    height: 16px;
    ...
    width: 16px;
    min-width: 16px;
}

/* buttons */
.components-button.is-large {
    height: 30px;
    line-height: 28px;
    ...
}

.components-button.is-small {
    height: 24px;
    line-height: 22px;
    ...
    font-size: 11px;
}

/* pressable buttons */
.components-toolbar__control.components-button {
    ...
    width: 36px;
    height: 36px;
}

/* number inputs */
input[type=number] {
    height: 28px;
    line-height: 1;
}",All/ Universal,Cognitively Impaired; Low-Vision ,"/* selects */
.wp-admin select {
    ...
    min-height: 44px;
    ...
}

/* checkboxes/radios */
input[type=checkbox], input[type=radio] {
    ...
    height: 1.5em;
    ...
    width: 1.5em;
    min-width: 16px;
}

/* buttons */
.components-button.is-large {
    min-height: 54px;
    ...
}

.components-button.is-small {
    min-height: 44px;
    ...
}

/* pressable buttons */
.components-toolbar__control.components-button {
    ...
    min-width: 44px;
    min-height: 44px;
}

/* number inputs */
input[type=number] {
    min-height: 44px;
}",,"Avoid setting fixed heights on elements (even inputs), and especially in `px` units. Instead, set min-heights on containers, allowing them to always expand to enclose their content, and allowing containers to themselves wrap as needed.

The Recommended Code is using a minimum of `44px` for the settings (following https://www.w3.org/TR/WCAG21/#target-size), meaning designers may want to reconsider how they want to show some buttons as larger than others (visual importance), as well as dealing with horizontal button rows wrapping as necessary (such as in the ""Image Resize"" section of the Block Panel).

The checkboxes are made larger so that the growing checkmark icon remains visible inside the checkboxes (by allowing them to grow with the checkmark). These do not need to meet target size minimums as they are inline with their (clickable) labels.",Medium,1.4.4 Resize text (Level AA)  ,
Focus state has low contrast,GUT-31,Bug,GUT,Gutenberg,Block Panel   ,Contrast_nonText; Focus; ,"Some of the controls in the Block panel have very low contrast in their focussed state.

All interactive elements should have a visible and obvious focus indicator, so that sighted keyboard users have a clear indication of which element has focus. The visual presentation of user interface component states must have a contrast ratio of at least 3:1 against adjacent color(s).

 !low_outline.png|alt=Screenshot showing two low-contrast outlined buttons. Both are showing focus as this is actually two screenshots merged together! ",,Color,".components-button.is-default:focus:enabled {
    background: #fafafa;
    color: #23282d;
    border-color: #999;
    box-shadow: inset 0 -1px 0 #999, 0 0 0 2px #bfe7f3;
    ...
}",All/ Universal,Cognitively Impaired; Low-Vision; Motor Impaired; ,".components-button.is-default:focus:enabled {
    background: #fafafa;
    color: #23282d;
    border-color: #999;
    box-shadow: 0 0 0 1px #00a0d2;
    ...
}",,Darken the `box-shadow` color on focus.,Medium,1.4.11 Non-text Contrast (Level AA); 2.4.7 Focus Visible (Level AA) ; ,
